EPS,MSE,T
0.1165,0.29238678,0.843233815
0.117,0.293188923,0.841821363
0.1175,0.293989508,0.839938094
0.118,0.294788558,0.838525642
0.1185,0.295586084,0.836642373
0.119,0.296382072,0.835229921
0.1195,0.297176566,0.833817469
0.12,0.297969534,0.8319342
0.1205,0.298761011,0.830521748
0.121,0.299551013,0.829109296
0.1215,0.300339505,0.827226027
0.122,0.301126535,0.825813575
0.1225,0.301912111,0.824401123
0.123,0.302696207,0.822517853
0.1235,0.303478856,0.821105401
0.124,0.30426007,0.81969295
0.1245,0.305039852,0.81780968
0.125,0.305818184,0.816397228
0.1255,0.306595102,0.814984776
0.126,0.307370612,0.813572324
0.1265,0.308144721,0.812159872
0.127,0.308917416,0.810276603
0.1275,0.309688715,0.808864151
0.128,0.310458631,0.807451699
0.1285,0.311227173,0.806039247
0.129,0.311994345,0.804626795
0.1295,0.312760153,0.803214343
0.13,0.313524599,0.801331074
0.1305,0.314287684,0.799918622
0.131,0.315049426,0.79850617
0.1315,0.31580983,0.797093718
0.132,0.316568903,0.795681266
0.1325,0.317326652,0.794268814
0.133,0.318083081,0.792856362
0.1335,0.318838198,0.79144391
0.134,0.319592009,0.790031459
0.1345,0.320344519,0.788619007
0.135,0.321095734,0.787206555
0.1355,0.321845662,0.785794103
0.136,0.322594307,0.784381651
0.1365,0.323341677,0.782969199
0.137,0.324087776,0.781556747
0.1375,0.324832612,0.780144295
0.138,0.325576191,0.778731843
0.1385,0.326318518,0.777319391
0.139,0.327059599,0.775906939
0.1395,0.327799442,0.774494487
0.14,0.328538051,0.773082035
0.1405,0.329275433,0.771669583
0.141,0.330011591,0.770727949
0.1415,0.330746519,0.769315497
0.142,0.331480237,0.767903045
0.1425,0.332212751,0.766490593
0.143,0.332944067,0.765078141
0.1435,0.333674191,0.763665689
0.144,0.334403129,0.762253237
0.1445,0.335130876,0.761311602
0.145,0.335857433,0.75989915
0.1455,0.33658282,0.758486698
0.146,0.337307044,0.757074246
0.1465,0.338030112,0.755661794
0.147,0.338752012,0.75472016
0.1475,0.339472748,0.753307708
0.148,0.340192344,0.751895256
0.1485,0.340910806,0.750482804
0.149,0.341628124,0.749541169
0.1495,0.342344295,0.748128717
0.15,0.343059349,0.746716265
0.1505,0.343773291,0.745303813
0.151,0.344486092,0.744362179
0.1515,0.345197782,0.742949727
0.152,0.345908379,0.741537275
0.1525,0.346617859,0.74059564
0.153,0.347326233,0.739183188
0.1535,0.348033529,0.737770736
0.154,0.348739723,0.736829102
0.1545,0.349444827,0.73541665
0.155,0.350148868,0.734004198
0.1555,0.350851811,0.733062563
0.156,0.351553689,0.731650111
0.1565,0.352254514,0.730708477
0.157,0.352954247,0.729296025
0.1575,0.353652945,0.727883573
0.158,0.354350574,0.726941938
0.1585,0.355047156,0.725529486
0.159,0.355742704,0.724587851
0.1595,0.356437188,0.723175399
0.16,0.357130666,0.721762948
0.1605,0.357823073,0.720821313
0.161,0.358514482,0.719408861
0.1615,0.359204842,0.718467226
0.162,0.359894201,0.717054774
0.1625,0.360582529,0.71611314
0.163,0.361269855,0.714700688
0.1635,0.361956164,0.713759053
0.164,0.362641477,0.712346601
0.1645,0.363325781,0.711404967
0.165,0.364009099,0.709992515
0.1655,0.364691411,0.70905088
0.166,0.365372753,0.707638428
0.1665,0.366053087,0.706696793
0.167,0.36673247,0.705284341
0.1675,0.36741084,0.704342707
0.168,0.368088269,0.703401072
0.1685,0.368764702,0.70198862
0.169,0.369440187,0.701046986
0.1695,0.370114706,0.699634534
0.17,0.370788259,0.698692899
0.1705,0.371460884,0.697280447
0.171,0.372132519,0.696338812
0.1715,0.372803233,0.695397178
0.172,0.373472998,0.693984726
0.1725,0.374141814,0.693043091
0.173,0.374809716,0.692101457
0.1735,0.375476659,0.690689005
0.174,0.376142683,0.68974737
0.1745,0.3768078,0.688334918
0.175,0.377471959,0.687393283
0.1755,0.378135219,0.686451649
0.176,0.378797577,0.685039197
0.1765,0.379458991,0.684097562
0.177,0.380119514,0.683155927
0.1775,0.380779148,0.682214293
0.178,0.381437847,0.680801841
0.1785,0.38209566,0.679860206
0.179,0.382752593,0.678918572
0.1795,0.383408619,0.67750612
0.18,0.384063751,0.676564485
0.1805,0.38471801,0.67562285
0.181,0.385371399,0.674210398
0.1815,0.386023877,0.673268764
0.182,0.38667549,0.672327129
0.1825,0.387326242,0.671385495
0.183,0.38797613,0.669973043
0.1835,0.388625125,0.669031408
0.184,0.389273266,0.668089773
0.1845,0.389920556,0.667148139
0.185,0.390566998,0.666206504
0.1855,0.391212565,0.664794052
0.186,0.39185728,0.663852417
0.1865,0.392501155,0.662910783
0.187,0.393144191,0.661969148
0.1875,0.393786393,0.661027514
0.188,0.394427732,0.659615062
0.1885,0.395068237,0.658673427
0.189,0.395707915,0.657731792
0.1895,0.396346768,0.656790158
0.19,0.396984799,0.655848523
0.1905,0.397622005,0.654436071
0.191,0.39825837,0.653494437
0.1915,0.398893921,0.652552802
0.192,0.399528659,0.651611167
0.1925,0.400162589,0.650669533
0.193,0.40079571,0.649727898
0.1935,0.401428028,0.648786263
0.194,0.402059542,0.647844629
0.1945,0.402690236,0.646432177
0.195,0.403320133,0.645490542
0.1955,0.403949236,0.644548907
0.196,0.404577546,0.643607273
0.1965,0.405205068,0.642665638
0.197,0.405831802,0.641724004
0.1975,0.406457751,0.640782369
0.198,0.407082919,0.639840734
0.1985,0.407707306,0.6388991
0.199,0.408330916,0.637957465
0.1995,0.408953749,0.636545013
0.2,0.4095758,0.635603378
0.2005,0.410197082,0.634661744
0.201,0.410817596,0.633720109
0.2015,0.411437346,0.632778475
0.202,0.412056334,0.63183684
0.2025,0.412674562,0.630895205
0.203,0.413292032,0.629953571
0.2035,0.413908748,0.629011936
0.204,0.414524711,0.628070301
0.2045,0.415139923,0.627128667
0.205,0.415754388,0.626187032
0.2055,0.416368107,0.625245397
0.206,0.416981083,0.624303763
0.2065,0.417593319,0.623362128
0.207,0.418204816,0.622420494
0.2075,0.418815577,0.621478859
0.208,0.419425605,0.620537224
0.2085,0.420034901,0.61959559
0.209,0.420643469,0.618653955
0.2095,0.42125131,0.61771232
0.21,0.421858427,0.616770686
0.2105,0.422464823,0.615829051
0.211,0.4230705,0.614887416
0.2115,0.423675459,0.613945782
0.212,0.424279704,0.613004147
0.2125,0.424883237,0.612062513
0.213,0.425486058,0.611591695
0.2135,0.426088162,0.610650061
0.214,0.42668956,0.609708426
0.2145,0.427290254,0.608766791
0.215,0.427890247,0.607825157
0.2155,0.428489542,0.606883522
0.216,0.42908814,0.605941887
0.2165,0.429686044,0.605000253
0.217,0.430283256,0.604058618
0.2175,0.430879779,0.603116984
0.218,0.431475616,0.602175349
0.2185,0.432070768,0.601233714
0.219,0.432665223,0.600762897
0.2195,0.433258991,0.599821262
0.22,0.43385208,0.598879628
0.2205,0.434444493,0.597937993
0.221,0.435036233,0.596996358
0.2215,0.435627302,0.596054724
0.222,0.436217702,0.595113089
0.2225,0.436807435,0.594171455
0.223,0.437396481,0.593700637
0.2235,0.43798486,0.592759003
0.224,0.438572578,0.591817368
0.2245,0.439159638,0.590875733
0.225,0.439746043,0.589934099
0.2255,0.440331795,0.588992464
0.226,0.440916882,0.588521647
0.2265,0.4415013,0.587580012
0.227,0.442085072,0.586638377
0.2275,0.442668199,0.585696743
0.228,0.443250684,0.584755108
0.2285,0.443832529,0.583813474
0.229,0.444413703,0.583342656
0.2295,0.444994236,0.582401022
0.23,0.445574136,0.581459387
0.2305,0.446153404,0.580517752
0.231,0.446732044,0.579576118
0.2315,0.44731002,0.5791053
0.232,0.447887365,0.578163666
0.2325,0.448464088,0.577222031
0.233,0.44904019,0.576280396
0.2335,0.449615661,0.575809579
0.234,0.450190484,0.574867945
0.2345,0.450764692,0.57392631
0.235,0.451338288,0.572984675
0.2355,0.451911273,0.572513858
0.236,0.452483604,0.571572223
0.2365,0.453055328,0.570630589
0.237,0.453626449,0.569688954
0.2375,0.454196968,0.569218137
0.238,0.454766837,0.568276502
0.2385,0.455336108,0.567334867
0.239,0.455904784,0.566393233
0.2395,0.456472857,0.565922415
0.24,0.457040295,0.564980781
0.2405,0.457607144,0.564039146
0.241,0.458173407,0.563097512
0.2415,0.458739051,0.562626694
0.242,0.45930409,0.56168506
0.2425,0.459868548,0.560743425
0.243,0.46043242,0.560272608
0.2435,0.460995664,0.559330973
0.244,0.461558333,0.558389338
0.2445,0.46212043,0.557447704
0.245,0.462681908,0.556976886
0.2455,0.463242805,0.556035252
0.246,0.463803136,0.555093617
0.2465,0.464362865,0.5546228
0.247,0.464922005,0.553681165
0.2475,0.465480586,0.552739531
0.248,0.466038577,0.552268713
0.2485,0.466595977,0.551327079
0.249,0.467152823,0.550385444
