n,L,Delta,Kappa
100,7,0.81,-1344124422948638.5
100,7,0.82,-1344124422948638.5
100,7,0.83,-1344124422948638.5
100,7,0.84,-1344124422948638.5
100,7,0.85,-1344124422948638.5
100,7,0.86,-1344124422948638.5
100,7,0.87,-1344124422948638.5
100,7,0.88,-1344124422948638.5
100,7,0.89,-1344124422948638.5
100,7,0.9,-1344124422948638.5
100,7,0.91,-1344124422948638.5
100,7,0.92,-1344124422948638.5
100,7,0.93,-1344124422948638.5
100,7,0.94,-1344124422948638.5
100,7,0.95,-1344124422948638.5
100,7,0.96,-1344124422948638.5
100,7,0.97,-1344124422948638.5
100,7,0.98,-1344124422948638.5
100,7,0.99,-1344124422948638.5
100,8,0.04,0.006181
100,8,0.05,0.006973
100,8,0.06,0.012899
100,8,0.07,0.0195
100,8,0.08,0.028892
100,8,0.09,0.034594
100,8,0.1,0.041992
100,8,0.11,0.047632
100,8,0.12,0.05694400000000001
100,8,0.13,0.057997
100,8,0.14,0.066326
100,8,0.15,0.07433200000000001
100,8,0.16,0.07799600000000001
100,8,0.17,0.087996
100,8,0.18,0.092998
100,8,0.19,0.10233300000000001
100,8,0.2,0.11
100,8,0.21,0.115667
100,8,0.22,0.127
100,8,0.23,0.134667
100,8,0.24,0.141333
100,8,0.25,0.147333
100,8,0.26,0.156667
100,8,0.27,0.166667
100,8,0.28,0.17666700000000002
100,8,0.29,0.189667
100,8,0.3,0.198
100,8,0.31,0.20666700000000002
100,8,0.32,0.220667
100,8,0.33,0.233
100,8,0.34,0.245
100,8,0.35,0.255333
100,8,0.36,0.264667
100,8,0.37,0.283667
100,8,0.38,0.296667
100,8,0.39,0.31766700000000003
100,8,0.4,0.334333
100,8,0.41,0.347
100,8,0.42,0.365333
100,8,0.43,0.377333
100,8,0.44,0.4
100,8,0.45,0.426333
100,8,0.46,0.448333
100,8,0.47,0.471
100,8,0.48,0.498667
100,8,0.49,0.524
100,8,0.5,0.559334
100,8,0.51,0.5890029999999999
100,8,0.52,0.615364
100,8,0.53,0.6501060000000001
100,8,0.54,0.693362
100,8,0.55,0.725298
100,8,0.56,0.760984
100,8,0.57,0.789288
100,8,0.58,0.842835
100,8,0.59,0.8834190000000001
100,8,0.6,0.913624
100,8,0.61,0.943427
100,8,0.62,0.99249
100,8,0.63,1.0265520000000001
100,8,0.64,1.066195
100,8,0.65,1.0596510000000001
100,8,0.66,1.113948
100,8,0.67,1.160183
100,8,0.68,1.392503
100,8,0.69,1.157683
100,8,0.7,1.386068
100,8,0.71,-1344124422948638.5
100,8,0.72,1.058538
100,8,0.73,-1344124422948638.5
100,8,0.74,-1344124422948638.5
100,8,0.75,-1344124422948638.5
100,8,0.76,-1344124422948638.5
100,8,0.77,-1344124422948638.5
100,8,0.78,-1344124422948638.5
100,8,0.79,-1344124422948638.5
100,8,0.8,-1344124422948638.5
100,8,0.81,-1344124422948638.5
100,8,0.82,-1344124422948638.5
100,8,0.83,-1344124422948638.5
100,8,0.84,-1344124422948638.5
100,8,0.85,-1344124422948638.5
100,8,0.86,-1344124422948638.5
100,8,0.87,-1344124422948638.5
100,8,0.88,-1344124422948638.5
100,8,0.89,-1344124422948638.5
100,8,0.9,-1344124422948638.5
100,8,0.91,-1344124422948638.5
100,8,0.92,-1344124422948638.5
100,8,0.93,-1344124422948638.5
100,8,0.94,-1344124422948638.5
100,8,0.95,-1344124422948638.5
100,8,0.96,-1344124422948638.5
100,8,0.97,-1344124422948638.5
100,8,0.98,-1344124422948638.5
100,8,0.99,-1344124422948638.5
100,9,0.04,0.008169
100,9,0.05,0.011422
100,9,0.06,0.016484
100,9,0.07,0.019303
100,9,0.08,0.028852999999999997
100,9,0.09,0.033552
100,9,0.1,0.038216
100,9,0.11,0.048933
100,9,0.12,0.050985
100,9,0.13,0.062327
100,9,0.14,0.067992
100,9,0.15,0.075325
100,9,0.16,0.078
100,9,0.17,0.08733300000000001
100,9,0.18,0.094
100,9,0.19,0.103
100,9,0.2,0.10866700000000001
100,9,0.21,0.115
100,9,0.22,0.12466700000000001
100,9,0.23,0.132333
100,9,0.24,0.141
100,9,0.25,0.149333
100,9,0.26,0.16
100,9,0.27,0.167667
100,9,0.28,0.177
100,9,0.29,0.187
100,9,0.3,0.195
100,9,0.31,0.205
100,9,0.32,0.216333
100,9,0.33,0.229667
100,9,0.34,0.238333
100,9,0.35,0.25366700000000003
100,9,0.36,0.262
100,9,0.37,0.271
100,9,0.38,0.29
100,9,0.39,0.311667
100,9,0.4,0.327667
100,9,0.41,0.340333
100,9,0.42,0.366
100,9,0.43,0.374
100,9,0.44,0.400667
100,9,0.45,0.431
100,9,0.46,0.452
100,9,0.47,0.473
100,9,0.48,0.505333
100,9,0.49,0.524668
100,9,0.5,0.562674
100,9,0.51,0.595011
100,9,0.52,0.640794
100,9,0.53,0.662299
100,9,0.54,0.695465
100,9,0.55,0.740118
100,9,0.56,0.77323
100,9,0.57,0.819915
100,9,0.58,0.857432
100,9,0.59,0.896753
100,9,0.6,0.9348629999999999
100,9,0.61,0.980316
100,9,0.62,1.0090350000000001
100,9,0.63,1.069756
100,9,0.64,1.058907
100,9,0.65,1.0976920000000001
100,9,0.66,1.1274620000000002
100,9,0.67,1.1142610000000002
100,9,0.68,1.2917459999999998
100,9,0.69,1.1142729999999998
100,9,0.7,1.540812
100,9,0.71,1.001363
100,9,0.72,-1344124422948638.5
100,9,0.73,-1344124422948638.5
100,9,0.74,-1344124422948638.5
100,9,0.75,-1344124422948638.5
100,9,0.76,-1344124422948638.5
100,9,0.77,-1344124422948638.5
100,9,0.78,-1344124422948638.5
100,9,0.79,-1344124422948638.5
100,9,0.8,-1344124422948638.5
100,9,0.81,-1344124422948638.5
100,9,0.82,-1344124422948638.5
100,9,0.83,-1344124422948638.5
100,9,0.84,-1344124422948638.5
100,9,0.85,-1344124422948638.5
100,9,0.86,-1344124422948638.5
100,9,0.87,-1344124422948638.5
100,9,0.88,-1344124422948638.5
100,9,0.89,-1344124422948638.5
100,9,0.9,-1344124422948638.5
100,9,0.91,-1344124422948638.5
100,9,0.92,-1344124422948638.5
100,9,0.93,-1344124422948638.5
100,9,0.94,-1344124422948638.5
100,9,0.95,-1344124422948638.5
100,9,0.96,-1344124422948638.5
100,9,0.97,-1344124422948638.5
100,9,0.98,-1344124422948638.5
100,9,0.99,-1344124422948638.5
100,15,0.04,0.007548
100,15,0.05,0.012859
100,15,0.06,0.017716
100,15,0.07,0.021845
100,15,0.08,0.029073
100,15,0.09,0.03392
100,15,0.1,0.040212
100,15,0.11,0.044636
100,15,0.12,0.054998000000000005
100,15,0.13,0.061999
100,15,0.14,0.067329
100,15,0.15,0.06966599999999999
100,15,0.16,0.079
100,15,0.17,0.088
100,15,0.18,0.091667
100,15,0.19,0.09966699999999999
100,15,0.2,0.10266700000000001
100,15,0.21,0.111667
100,15,0.22,0.116
100,15,0.23,0.125667
100,15,0.24,0.132
100,15,0.25,0.136667
100,15,0.26,0.147333
100,15,0.27,0.155333
100,15,0.28,0.161
100,15,0.29,0.168
100,15,0.3,0.17866700000000002
100,15,0.31,0.186
100,15,0.32,0.194667
100,15,0.33,0.20566700000000002
100,15,0.34,0.214
100,15,0.35,0.224667
100,15,0.36,0.236
100,15,0.37,0.255
100,15,0.38,0.264333
