"k","eps","mse"
1,0.0284787553701262,0.112460890443789
1,0.0287285679169583,0.113164006502337
1,0.0289783804637903,0.113864977994945
1,0.0292281930106224,0.114563816973339
1,0.0294780055574544,0.115260550858979
1,0.0297278181042864,0.115955202198611
1,0.0299776306511185,0.116647790834638
1,0.0302274431979505,0.117338336632949
1,0.0304772557447826,0.118026859482936
1,0.0307270682916146,0.118713379297508
1,0.0309768808384467,0.119397916013105
1,0.0312266933852787,0.120080485388039
1,0.0314765059321107,0.120761102321904
1,0.0317263184789428,0.121439793427059
1,0.0319761310257748,0.122116578729919
1,0.0322259435726069,0.12279146342712
1,0.0324757561194389,0.123464473404557
1,0.0327255686662709,0.124135629803872
1,0.032975381213103,0.124804934390654
1,0.033225193759935,0.125472423029256
1,0.0334750063067671,0.12613809230213
1,0.0337248188535991,0.126801973833327
1,0.0339746314004312,0.1274640780111
1,0.0342244439472632,0.12812441320438
1,0.0344742564940952,0.12878300713295
1,0.0347240690409273,0.129439872389068
1,0.0349738815877593,0.130095009122205
1,0.0352236941345914,0.130748445955319
1,0.0354735066814234,0.131400196006894
1,0.0357233192282555,0.13205027240598
1,0.0359731317750875,0.132698688292196
1,0.0362229443219195,0.133345456815727
1,0.0364727568687516,0.133990591137322
1,0.0367225694155836,0.134634104428297
1,0.0369723819624157,0.135276009870526
1,0.0372221945092477,0.135916320656447
1,0.0374720070560797,0.136555049989056
1,0.0377218196029118,0.137192211081905
1,0.0379716321497438,0.137827817159102
1,0.0382214446965759,0.138461881455306
1,0.0384712572434079,0.13909440719953
1,0.03872106979024,0.13972541016396
1,0.038970882337072,0.140354908999269
1,0.039220694883904,0.140982916230349
1,0.0394705074307361,0.141609423088678
1,0.0397203199775681,0.142234463550889
1,0.0399701325244002,0.142858042217122
1,0.0402199450712322,0.143480160200978
1,0.0404697576180642,0.144100849221978
1,0.0407195701648963,0.144720089826295
1,0.0409693827117283,0.14533792639199
1,0.0412191952585604,0.14595433542698
1,0.0414690078053924,0.146569358730787
1,0.0417188203522245,0.147182980107087
1,0.0419686328990565,0.147795227429479
1,0.0422184454458885,0.14840610707445
1,0.0424682579927206,0.149015616393812
1,0.0427180705395526,0.149623782480229
1,0.0429678830863847,0.150230608980384
1,0.0432176956332167,0.150836092428745
1,0.0434675081800487,0.151440257889197
1,0.0437173207268808,0.152043113269009
1,0.0439671332737128,0.152644665827785
1,0.0442169458205449,0.153244911405338
1,0.0444667583673769,0.153843872199802
1,0.044716570914209,0.154441556134333
1,0.044966383461041,0.155037971135776
1,0.045216196007873,0.155633125134654
1,0.0454660085547051,0.156227026065171
1,0.0457158211015371,0.156819681865205
1,0.0459656336483692,0.157411100476304
1,0.0462154461952012,0.158001289843683
1,0.0464652587420333,0.158590257916216
